# surface_pressure: 79932.0625
# surface_elevation: 2012.2230341045827
# units: Pa, Pa, m, K, kg/kg, ppm, ppb
# comment: all profile quantities are at mid-layer, pressure-thickness reveals the thickness of each layer
pressure,pressure_thickness,altitude,temperature,specific_humidity,co2,ch4
1.5000001,1.0000001,76242.46,183.1397,3.3951371e-06,404.3764331274562,157.28968824501933
2.6350002,1.2700001,73041.305,186.68214,3.6102267e-06,404.4167386988798,162.40624435401807
4.0142508,1.4885008,70635.54,193.51695,3.655364e-06,404.45884083897835,171.2732331444574
5.6792507,1.8414992,68593.71,204.54657,3.684849e-06,404.5139359530166,181.01407631319978
7.767252,2.3345006,66655.45,216.34393,3.7389507e-06,404.60674699042346,193.22113643180163
10.452403,3.0358005,64734.902,224.6214,3.8306916e-06,404.75179525350956,210.4294612305782
13.959897,3.9792018,62810.574,229.19183,3.9381666e-06,404.8900245969116,225.77361627811234
18.542198,5.1854005,60889.07,232.73221,4.0524424e-06,404.9847656494454,233.7936365231528
24.493753,6.7177024,58971.285,237.3937,4.144151e-06,405.0600551568937,238.04244342833405
32.178356,8.651504,57046.145,244.0539,4.2148413e-06,405.1836561605644,250.9028376625383
42.04235,11.076504,55105.52,251.24323,4.264937e-06,405.3355830600831,267.7096076392804
54.629265,14.097303,53150.016,258.31577,4.295414e-06,405.4306513690217,276.4666260749011
70.59564,17.835508,51185.273,264.60815,4.306109e-06,405.51953937177103,286.355294184696
90.72874,22.430614,49227.92,267.72232,4.295347e-06,405.62380556905373,303.5596322914629
115.99751,28.107002,47299.066,268.0211,4.2665088e-06,405.68360580234884,320.6240935805735
147.56499,35.028023,45418.203,265.20157,4.2151555e-06,405.6700963432107,331.6897336304878
186.7881,43.41803,43595.633,262.43686,4.150893e-06,405.56618246396454,331.7747671274341
235.25914,53.524048,41831.875,259.22046,4.075519e-06,405.50101047200667,346.3615496007896
294.83203,65.62203,40130.566,255.08902,3.9837164e-06,405.4754446433099,372.2337657680739
367.65005,80.01405,38493.97,250.84575,3.8856647e-06,405.50796095178356,419.5073390814017
456.1687,97.02299,36920.46,246.85095,3.803983e-06,405.6113611484222,474.8820535419686
563.18,117.0,35410.742,241.96654,3.7439534e-06,405.78558292947014,553.7743554456188
691.8323,140.30408,33962.023,238.51022,3.7040884e-06,405.9865062353546,644.2421632796554
845.639,167.31001,32568.408,235.18549,3.623324e-06,406.18507347837163,727.5805767007413
1028.4924,198.396,31227.133,232.35043,3.5310006e-06,406.3865888316219,815.0099729310892
1246.0151,236.64998,29928.611,229.73296,3.4269974e-06,406.5755779501396,903.3414440723328
1505.025,281.37006,28664.482,227.243,3.3381014e-06,406.75411744612376,990.8533656604516
1812.435,333.45004,27432.896,225.15663,3.2616224e-06,406.92045979624345,1060.4898791052724
2176.1,393.88,26232.484,223.02385,3.1940249e-06,407.1206889757716,1123.4500151236396
2604.9102,463.74005,25061.56,221.43489,3.1395932e-06,407.349870322462,1182.1567173676879
3108.8904,544.22034,23918.406,219.8449,3.0816714e-06,407.80930118031665,1255.2827989244129
3699.2703,636.54004,22803.0,218.13463,3.0181775e-06,408.9274342361562,1373.2311478598556
4390.967,746.8499,21711.662,216.65239,2.9503647e-06,409.828088056572,1454.2013906732222
5201.591,874.4001,20639.31,215.61371,2.8719608e-06,410.30377728424753,1492.430428788526
6149.562,1021.55023,19585.916,214.07732,2.7680887e-06,411.9577755099507,1608.5056458507127
7255.786,1190.8901,18553.014,212.34169,2.7309673e-06,414.4340936801638,1751.5630973775267
